,carparkNo,modelParts
1673,U52,27
1674,U54,27
1675,U55,27
1676,U56,27
1677,U57,27
1678,U58,27
1679,U6,27
1680,U60,27
1681,U63,27
1682,U64,27
1683,U65,27
1684,U66,27
1685,U68,27
1686,U7,27
1687,U70,27
1688,U8,27
1689,U9,27
1690,UA2,27
1691,UA3,27
1692,UA5,27
1693,UAM1,27
1694,UBK2,27
1695,UBK4,27
1696,UBK5,27
1697,UBKM,27
1698,UBM1,27
1699,UBM2,27
1700,W10,27
1701,W100,27
1702,W101,28
1703,W102,28
1704,W103,28
1705,W104,28
1706,W105,28
1707,W106,28
1708,W107,28
1709,W108,28
1710,W109,28
1711,W11,28
1712,W11M,28
1713,W12M,28
1714,W13,28
1715,W14,28
1716,W17,28
1717,W18,28
1718,W181,28
1719,W182,28
1720,W185,28
1721,W19,28
1722,W20,28
1723,W21,28
1724,W23,28
1725,W24,28
1726,W25,28
1727,W26,28
1728,W27,28
1729,W28,28
1730,W30,28
1731,W36,28
1732,W37,28
1733,W39,28
1734,W4,28
1735,W40,28
1736,W41,28
1737,W43,28
1738,W44,28
1739,W45,28
1740,W46,28
1741,W48,28
1742,W49,28
1743,W4M,28
1744,W5,28
1745,W50,28
1746,W505,28
1747,W509,28
1748,W51,28
1749,W516,28
1750,W517,28
1751,W52,28
1752,W527,28
1753,W53,28
1754,W536,28
1755,W54,28
1756,W546,28
1757,W549,28
1758,W55,28
1759,W554,28
1760,W56,28
1761,W56L,28
1762,W57,28
1763,W570,28
1764,W574,28
1765,W578,29
1766,W579,29
1767,W58,29
1768,W586,29
1769,W588,29
1770,W59,29
1771,W5M,29
1772,W6,29
1773,W61,29
1774,W64,29
1775,W65,29
1776,W66,29
1777,W67,29
1778,W676,29
1779,W68,29
1780,W69,29
1781,W691,29
1782,W693,29
1783,W694,29
1784,W7,29
1785,W70,29
1786,W71,29
1787,W717,29
1788,W72,29
1789,W73,29
1790,W74,29
1791,W75,29
1792,W76,29
1793,W77,29
1794,W78,29
1795,W780,29
1796,W782,29
1797,W783,29
1798,W785,29
1799,W79,29
1800,W80,29
1801,W81,29
1802,W82,29
1803,W83,29
1804,W84,29
1805,W85,29
1806,W86,29
1807,W87,29
1808,W88,29
1809,W887,29
1810,W889,29
1811,W89,29
1812,W8M,29
1813,W90,29
1814,W91,29
1815,W92,29
1816,W93,29
1817,W94,29
1818,W95,29
1819,W96,29
1820,W98,29
1821,WCB,29
1822,WDB1,29
1823,Y0019,29
1824,Y1,29
1825,Y10,29
1826,Y11,29
1827,Y12,29
1828,Y13,30
1829,Y14,30
1830,Y15,30
1831,Y16,30
1832,Y17,30
1833,Y18,30
1834,Y19,30
1835,Y2,30
1836,Y20,30
1837,Y21,30
1838,Y21M,30
1839,Y23,30
1840,Y24,30
1841,Y25,30
1842,Y25M,30
1843,Y26,30
1844,Y27,30
1845,Y28,30
1846,Y28M,30
1847,Y29,30
1848,Y3,30
1849,Y30M,30
1850,Y31,30
1851,Y32,30
1852,Y33,30
1853,Y34,30
1854,Y34A,30
1855,Y35,30
1856,Y36,30
1857,Y39,30
1858,Y3M,30
1859,Y4,30
1860,Y40,30
1861,Y41,30
1862,Y41M,30
1863,Y43,30
1864,Y45,30
1865,Y45M,30
1866,Y46,30
1867,Y48,30
1868,Y48M,30
1869,Y49,30
1870,Y49L,30
1871,Y49M,30
1872,Y5,30
1873,Y51,30
1874,Y51M,30
1875,Y52M,30
1876,Y53M,30
1877,Y54M,30
1878,Y56,30
1879,Y57,30
1880,Y58,30
1881,Y59M,30
1882,Y6,30
1883,Y60M,30
1884,Y61M,30
1885,Y62M,30
1886,Y63M,30
1887,Y64M,30
1888,Y65M,30
1889,Y66M,30
1890,Y68L,30
1891,Y68M,30
1892,Y69M,30
1893,Y7,30
1894,Y70M,30
1895,Y71M,30
1896,Y73M,30
1897,Y74M,30
1898,Y76M,30
1899,Y77L,30
1900,Y77M,30
1901,Y78M,30
1902,Y8,30
1903,Y9,30
1904,YHS,30
